strategy,date,code,name,industry,amount,buy,sell,ret,equity_after
C_limit_up_conservative,2025-08-28,sz.002600,领益智造,C39计算机、通信和其他电子设备制造业,11987649140.96,16.26,16.26,-0.0015,4205505.157223131
C_limit_up_conservative,2025-08-28,sz.002837,英维克,C35专用设备制造业,9391535323.49,79.03,82.0,0.036080665570036585,4255615.667104969
C_limit_up_conservative,2025-08-29,sh.601138,工业富联,C39计算机、通信和其他电子设备制造业,17371646435.71,53.83,53.99,0.0014723202675089322,4257704.210170771
C_limit_up_conservative,2025-08-29,sh.601606,长城军工,C33金属制品业,7461975627.37,69.17,71.0,0.024956556310539224,4293106.04751481
C_limit_up_conservative,2025-08-29,sz.002156,通富微电,C39计算机、通信和其他电子设备制造业,5795766607.76,33.09,35.44,0.06951843457237811,4391720.627287752
C_limit_up_conservative,2025-09-01,sh.603986,兆易创新,C39计算机、通信和其他电子设备制造业,10223340505.54,174.88,179.28,0.02366010978956995,4426356.824690001
C_limit_up_conservative,2025-09-01,sz.000988,华工科技,C39计算机、通信和其他电子设备制造业,8846792823.11,75.26,75.39,0.0002273452032950942,4426689.636896277
C_limit_up_conservative,2025-09-01,sz.002131,利欧股份,L72商务服务业,6594199084.07,5.79,5.98,0.031315198618307394,4472532.171469487
C_limit_up_conservative,2025-09-02,sh.601689,拓普集团,C36汽车制造业,5685415082.24,67.66,70.98,0.04756887378066815,4543449.944251024
C_limit_up_conservative,2025-09-02,sz.000981,山子高科,C36汽车制造业,2926614800.77,2.65,2.66,0.0022735849056603765,4546839.504796068
C_limit_up_conservative,2025-09-02,sz.002031,巨轮智能,C35专用设备制造业,2890523737.13,8.9,9.18,0.029960674157303357,4591506.197811887
C_limit_up_conservative,2025-09-03,sh.601929,吉视传媒,I63电信、广播电视和卫星传输服务,3742759175.05,5.53,5.4,-0.02500813743218805,4553231.191806679
C_limit_up_conservative,2025-09-03,sh.600079,ST人福,C27医药制造业,3160863610.83,22.57,22.4,-0.009032122286220688,4539407.50998782
C_limit_up_conservative,2025-09-03,sz.300827,上能电气,C38电气机械和器材制造业,2859524264.28,30.11,31.0,0.028058286283626777,4582350.775111571
C_limit_up_conservative,2025-09-04,sh.601099,太平洋,J67资本市场服务,7474047954.3,4.79,4.8,0.0005876826722338037,4583248.431161114
C_limit_up_conservative,2025-09-04,sz.002530,金财互联,C33金属制品业,2474356367.1,11.92,11.74,-0.016600671140939605,4557891.731737762
C_limit_up_conservative,2025-09-04,sz.002067,景兴纸业,C22造纸和纸制品业,2346511497.47,5.08,4.75,-0.06646062992125984,4456376.425393066
C_limit_up_conservative,2025-09-05,sz.300476,胜宏科技,C39计算机、通信和其他电子设备制造业,23732191508.37,295.8,290.0,-0.021107843137254945,4425021.593877147
C_limit_up_conservative,2025-09-05,sz.300450,先导智能,C35专用设备制造业,16106069973.59,53.8,55.01,0.020990706319702623,4456202.423475638
C_limit_up_conservative,2025-09-05,sh.600580,卧龙电驱,C38电气机械和器材制造业,10434926371.68,38.5,38.87,0.008110389610389625,4468250.073162469
C_limit_up_conservative,2025-09-08,sz.002709,天赐材料,C39计算机、通信和其他电子设备制造业,4297504124.2,28.02,28.72,0.023482155603140653,4503224.787659718
C_limit_up_conservative,2025-09-08,sz.002555,三七互娱,I64互联网和相关服务,4085800320.27,22.28,22.28,-0.0015,4500990.662623136
C_limit_up_conservative,2025-09-08,sz.002407,多氟多,C26化学原料和化学制品制造业,3964159701.01,16.71,16.74,0.00029533213644500475,4501430.535236563
C_limit_up_conservative,2025-09-09,sz.002276,万马股份,C38电气机械和器材制造业,2297465807.04,17.46,18.17,0.039164375715922184,4677726.251977692
C_limit_up_conservative,2025-09-10,sh.601138,工业富联,C39计算机、通信和其他电子设备制造业,18310218737.15,53.67,55.8,0.03818697596422577,4737268.991961526
C_limit_up_conservative,2025-09-10,sz.002131,利欧股份,L72商务服务业,7438291646.31,5.96,5.85,-0.019956375838926232,4706152.1709095
C_limit_up_conservative,2025-09-10,sz.002384,东山精密,C39计算机、通信和其他电子设备制造业,5681410226.7,72.22,75.55,0.044609111049570827,4775708.574187488
C_limit_up_conservative,2025-09-11,sh.688041,海光信息,C39计算机、通信和其他电子设备制造业,15996969870.26,220.84,216.0,-0.023416319507335637,4738432.068238456
C_limit_up_conservative,2025-09-11,sh.601138,工业富联,C39计算机、通信和其他电子设备制造业,15528041270.94,59.04,58.88,-0.004210027100270906,4731730.114065015
C_limit_up_conservative,2025-09-11,sh.603986,兆易创新,C39计算机、通信和其他电子设备制造业,9422962073.19,177.42,179.99,0.012985401871266124,4752401.612416973
C_limit_up_conservative,2025-09-12,sh.600580,卧龙电驱,C38电气机械和器材制造业,10998934606.85,46.15,46.15,-0.0015,4750025.411610764
C_limit_up_conservative,2025-09-12,sh.688521,芯原股份,I65软件和信息技术服务业,6937017629.8,183.6,189.11,0.028510893246187552,4795190.4832889745
C_limit_up_conservative,2025-09-12,sh.603228,景旺电子,C39计算机、通信和其他电子设备制造业,5858781304.76,68.97,68.97,-0.0015,4792814.282482767
C_limit_up_conservative,2025-09-15,sz.000981,山子高科,C36汽车制造业,3873942588.9,3.05,3.16,0.03456557377049202,4848036.407699242
C_limit_up_conservative,2025-09-15,sh.600376,首开股份,K70房地产业,2604834840.41,6.06,6.16,0.01500165016501659,4872003.115423142
C_limit_up_conservative,2025-09-15,sh.603127,昭衍新药,M73研究和试验发展,2417708885.18,41.65,42.22,0.012185474189675917,4891470.6870015105
C_limit_up_conservative,2025-09-16,sz.002050,三花智控,C34通用设备制造业,8960440857.42,39.23,40.99,0.04336362477695649,4962174.653494382
