strategy,date,code,name,industry,prev_vol_ratio,buy,sell,ret,equity_after
A_no_lookahead,2025-05-09,sh.600493,凤竹纺织,C17纺织业,1.8284394569299474,5.82,5.99,0.027709621993127043,198552.14777200427
A_no_lookahead,2025-05-09,sz.000677,ST海龙,C17纺织业,4.455038666109814,4.98,4.97,-0.0035080321285141922,198334.45189378198
A_no_lookahead,2025-05-12,sh.600493,凤竹纺织,C17纺织业,2.6971110462546353,5.99,5.8,-0.03321953255425719,196138.2593000099
A_no_lookahead,2025-05-12,sz.300877,金春股份,C17纺织业,2.907512359617117,16.32,15.78,-0.03458823529411775,193851.57973699924
A_no_lookahead,2025-05-12,sh.600630,龙头股份,C18纺织服装、服饰业,4.068324069672591,9.2,8.95,-0.028673913043478272,191955.90479462314
A_no_lookahead,2025-05-13,sz.300729,乐歌股份,C21家具制造业,1.7645070127581635,15.68,16.35,0.04122959183673475,194593.99266306762
A_no_lookahead,2025-05-13,sh.601022,宁波远洋,G55水上运输业,2.706237718654276,8.74,9.58,0.09460983981693355,200647.63179791224
A_no_lookahead,2025-05-13,sz.001317,三羊马,G58多式联运和运输代理业,1.5205506337451034,42.99,40.6,-0.057094324261456164,196994.4342404971
A_no_lookahead,2025-05-15,sz.300240,飞力达,G58多式联运和运输代理业,2.363756107566765,10.5,9.93,-0.05578571428571427,193331.27583235834
A_no_lookahead,2025-05-15,sh.601008,连云港,G55水上运输业,1.6427211561270287,6.53,6.77,0.03525344563552829,195646.18669169134
A_no_lookahead,2025-05-15,sh.601083,锦江航运,G55水上运输业,3.282100847983911,13.77,13.45,-0.024738925199709494,194021.70983387975
A_no_lookahead,2025-05-19,sh.603080,新疆火炬,D45燃气生产和供应业,2.216922351110541,18.2,17.06,-0.06413736263736264,187799.6894523114
A_no_lookahead,2025-05-19,sz.000421,南京公用,D45燃气生产和供应业,3.5613086569023475,6.49,6.32,-0.027694144838212587,185113.05678536283
A_no_lookahead,2025-05-21,sz.002103,广博股份,C24文教、工美、体育和娱乐用品制造业,1.7119991209739258,10.8,10.17,-0.05983333333333335,181421.07970836587
A_no_lookahead,2025-05-21,sz.002731,*ST萃华,C24文教、工美、体育和娱乐用品制造业,2.166074418447863,11.2,11.85,0.05653571428571441,184909.57933802338
A_no_lookahead,2025-05-21,sz.002862,实丰文化,C24文教、工美、体育和娱乐用品制造业,2.4867038203679495,20.57,19.32,-0.062268108896451124,181067.3660120014
A_no_lookahead,2025-05-22,sz.300192,科德教育,P83教育,1.9244438773516142,16.9,16.14,-0.04647041420118331,176860.22826355393
A_no_lookahead,2025-05-22,sh.600234,科新发展,E50建筑装饰、装修和其他建筑业,1.7454830278470854,8.0,7.4,-0.07649999999999996,169934.40151359487
A_no_lookahead,2025-05-27,sh.600616,金枫酒业,C15酒、饮料和精制茶制造业,1.5172235100030589,6.45,7.1,0.09927519379844957,186804.67215688055
A_no_lookahead,2025-05-28,sh.603779,威龙股份,C15酒、饮料和精制茶制造业,2.305500138204297,7.96,7.72,-0.03165075376884424,180892.16347557344
A_no_lookahead,2025-05-29,sz.300815,玉禾田,N78公共设施管理业,3.5726668689985077,23.71,29.2,0.2300478700970055,201699.09193797095
A_no_lookahead,2025-05-29,sh.603686,福龙马,N78公共设施管理业,2.6764129199001534,15.15,16.98,0.1192920792079209,212488.59308468108
A_no_lookahead,2025-05-30,sh.600834,申通地铁,S91综合,2.959635459329109,9.52,8.45,-0.11389495798319332,188287.21370339347
A_no_lookahead,2025-06-03,sz.001277,速达股份,C43金属制品、机械和设备修理业,2.440481048299887,44.28,43.95,-0.008952574525745214,186601.5583904689
A_no_lookahead,2025-06-05,sh.600259,中稀有色,B09有色金属矿采选业,1.554006537877271,54.1,55.8,0.029923290203327124,192185.29097458
A_no_lookahead,2025-06-06,sz.301227,森鹰窗业,C20木材加工和木、竹、藤、棕、草制品业,3.7423214205496347,19.72,19.93,0.009149087221095366,193943.61096431804
A_no_lookahead,2025-06-11,sz.301539,宏鑫科技,C36汽车制造业,1.6240975973100982,19.0,18.05,-0.051499999999999935,190614.2456427639
A_no_lookahead,2025-06-11,sz.300926,博俊科技,C36汽车制造业,3.3587499245179098,26.1,25.56,-0.022189655172413947,189179.73169270024
A_no_lookahead,2025-06-11,sh.688053,ST思科瑞,M74专业技术服务业,2.076013517956447,31.41,30.02,-0.045753422476918215,186221.8703696504
A_no_lookahead,2025-06-12,sz.002996,顺博合金,C42废弃资源综合利用业,1.7495175877580835,8.23,7.59,-0.07926427703523703,178841.4994081504
A_no_lookahead,2025-06-12,sz.002645,华宏科技,C42废弃资源综合利用业,1.7718491849720377,10.3,10.09,-0.021888349514563143,176803.45471519712
A_no_lookahead,2025-06-13,sh.600583,海油工程,B11开采专业及辅助性活动,1.649938677459627,5.5,5.58,0.01304545454545464,177956.69543118036
A_no_lookahead,2025-06-13,sh.600938,中国海油,B07石油和天然气开采业,1.5934817607748029,27.59,27.7,0.002486951794128224,178176.54626563637
A_no_lookahead,2025-06-16,sz.300483,首华燃气,B07石油和天然气开采业,11.74647654676565,11.55,10.64,-0.08028787878787874,173408.0739491636
A_no_lookahead,2025-06-16,sh.600968,海油发展,B11开采专业及辅助性活动,3.1447546639628015,4.4,4.16,-0.056045454545454565,170079.41210756468
A_no_lookahead,2025-06-16,sz.300332,天壕能源,D45燃气生产和供应业,3.9428542567629505,5.05,4.96,-0.01932178217821784,168931.84930216076
A_no_lookahead,2025-06-18,sz.000663,永安林业,A02林业,1.8225713608695988,7.1,6.57,-0.07614788732394356,164643.91482679863
A_no_lookahead,2025-06-18,sh.603619,中曼石油,B07石油和天然气开采业,1.8356370407998617,21.9,21.43,-0.022961187214611878,163350.95622068614
A_no_lookahead,2025-06-18,sz.300483,首华燃气,B07石油和天然气开采业,2.2584392210169355,11.71,10.82,-0.07750341588385995,158986.69109652116
A_no_lookahead,2025-06-23,sz.000968,蓝焰控股,B07石油和天然气开采业,1.9174333640676327,8.56,7.42,-0.134677570093458,148280.72047948182
A_no_lookahead,2025-06-23,sz.300483,首华燃气,B07石油和天然气开采业,1.6971873790779513,15.33,11.8,-0.23176744944553157,129856.75053386917
A_no_lookahead,2025-06-25,sh.605188,国光连锁,F52零售业,2.0795603566822276,11.15,10.61,-0.04993049327354265,123372.9389248137
A_no_lookahead,2025-06-26,sh.601133,柏诚股份,E49建筑安装业,12.075494187636595,13.26,12.5,-0.05881523378582204,120954.20284291141
A_no_lookahead,2025-06-26,sh.601162,天风证券,J67资本市场服务,5.948333007931144,4.7,4.76,0.011265957446808418,121417.5076029163
A_no_lookahead,2025-06-26,sh.601519,大智慧,J69其他金融业,5.471760323380656,10.84,10.62,-0.02179520295202958,120521.19485536474
A_no_lookahead,2025-07-03,sz.001201,东瑞股份,A03畜牧业,2.041533785496581,16.93,16.77,-0.01095067926757237,119201.40590555905
A_no_lookahead,2025-07-07,sh.600396,华电辽能,D44电力、热力生产和供应业,1.6584915331338814,3.7,3.85,0.03904054054054057,120752.63501214085
A_no_lookahead,2025-07-07,sz.300040,九洲集团,D44电力、热力生产和供应业,1.8859532610692156,8.15,8.09,-0.008861963190184117,120400.51552168977
