strategy,date,code,name,industry,vol_ratio,buy,sell,ret,equity_after
A_daily_vol_proxy_3_8,2024-09-10,sz.002524,光正眼科,Q84卫生,7.127107134932116,3.72,3.53,-0.05257526881720437,499824.3403966843
A_daily_vol_proxy_3_8,2024-09-10,sz.002172,澳洋健康,Q84卫生,6.33001361202593,2.62,2.55,-0.0282175572519085,495039.20651630836
A_daily_vol_proxy_3_8,2024-09-10,sz.300143,盈康生命,Q84卫生,4.8594507114822685,9.18,8.05,-0.12459368191721126,473910.6076336921
A_daily_vol_proxy_3_8,2024-09-19,sz.002557,洽洽食品,C13农副食品加工业,3.9270087043818624,26.05,26.99,0.03458445297504792,490300.5467577759
A_daily_vol_proxy_3_8,2024-09-23,sz.300725,药石科技,M73研究和试验发展,3.040049898311799,26.1,26.05,-0.0034157088122605526,488625.8228595592
A_daily_vol_proxy_3_8,2024-09-24,sz.300033,同花顺,J69其他金融业,4.323354154346801,107.0,118.51,0.10607009345794399,514540.1162078983
A_daily_vol_proxy_3_8,2024-09-24,sz.300803,指南针,J69其他金融业,4.315827265664635,38.0,47.0,0.23534210526315796,572037.2311267541
A_daily_vol_proxy_3_8,2024-09-25,sh.600569,安阳钢铁,C31黑色金属冶炼和压延加工业,6.212572506042562,1.64,1.53,-0.06857317073170727,558961.7622217714
A_daily_vol_proxy_3_8,2024-09-25,sz.002110,三钢闽光,C31黑色金属冶炼和压延加工业,5.425583245094194,3.04,3.1,0.018236842105263273,562439.1464425683
A_daily_vol_proxy_3_8,2024-09-25,sz.000987,越秀资本,J69其他金融业,4.120387816718167,5.7,5.56,-0.026061403508772008,557469.78207509
A_daily_vol_proxy_3_8,2024-09-26,sz.002659,凯文教育,P83教育,3.1561705614522038,4.68,4.6,-0.018594017094017146,547104.1794177877
A_daily_vol_proxy_3_8,2024-10-09,sh.601519,大智慧,J69其他金融业,5.077210330476651,9.79,9.25,-0.05665832482124605,516106.1731092734
A_daily_vol_proxy_3_8,2024-10-16,sh.603759,海天股份,D46水的生产和供应业,3.851306725952109,6.45,7.07,0.09462403100775202,564942.2196368575
A_daily_vol_proxy_3_8,2024-10-17,sh.688244,永信至诚,I65软件和信息技术服务业,4.422990481994787,32.23,35.56,0.10181988830282368,593703.3964873445
A_daily_vol_proxy_3_8,2024-10-17,sz.300440,运达科技,I65软件和信息技术服务业,3.5735556433623814,8.18,7.5,-0.08462958435207818,569797.9838719408
A_daily_vol_proxy_3_8,2024-10-21,sz.002519,银河电子,C39计算机、通信和其他电子设备制造业,4.446566018155871,6.02,6.16,0.021755813953488412,573930.123514671
A_daily_vol_proxy_3_8,2024-10-21,sh.688662,富信科技,C39计算机、通信和其他电子设备制造业,4.424323751300671,32.98,39.0,0.1810348696179503,608314.5580876136
A_daily_vol_proxy_3_8,2024-10-21,sh.688311,盟升电子,C39计算机、通信和其他电子设备制造业,3.201423129789851,28.5,33.46,0.1725350877192982,641084.6064641551
A_daily_vol_proxy_3_8,2024-10-24,sz.300424,航新科技,C43金属制品、机械和设备修理业,3.0177361231056317,20.8,20.89,0.0028269230769231725,642896.9033324289
